total_frames,left_missing_%,right_missing_%,both_missing_%,class
2657,0.0,0.0,0.0,bird
2653,0.0,0.22615906520919715,0.0,boar
2658,0.0,6.621519939804364,0.0,dog
2657,0.0,0.0,0.0,dragon
2654,0.0,0.0,0.0,hare
2654,0.0,0.0,0.0,horse
2655,0.0,9.642184557438794,0.0,monkey
2654,0.0,3.9939713639788996,0.0,ox
2656,0.0,0.0,0.0,ram
2676,0.0,0.0,0.0,rat
2655,0.0,0.11299435028248588,0.0,snake
2657,0.0,5.7207376740684985,0.0,tiger
